,Random,Greedy,A3C
0,463.2441060458885,809.1800355977523,445.18646125995326
1,563.6255754554589,772.1105886629814,512.6918267622041
2,612.8393841550275,728.0665974864608,520.3976700102704
3,586.0379467421525,795.9988108617575,586.593296753438
4,500.92710873360954,810.9143676350766,457.36773743933566
5,508.0626637325793,743.8295256322992,420.0652370157826
6,553.6811652355152,853.6271113682185,483.4978019932656
7,488.47245406048967,767.7566298766931,552.9149289511391
8,573.940173055768,780.6789790097207,491.5995217563918
9,552.7720946784566,796.1451470456407,499.23829235518633
10,516.3608172045213,735.1574349424752,414.38040746821554
11,520.907199124506,803.8710351276266,504.02695074379665
12,542.0689580897393,727.7245246436045,565.154003385218
13,560.4141534136079,715.4175857107282,517.8387582378061
14,520.6934547087978,748.8902531751236,520.7710993290927
15,517.5365951618533,818.078140215981,499.6330143579744
16,543.6084851339557,814.0456256053973,516.3927088234044
17,521.4415326996046,784.9146424606242,473.34240657168084
18,547.7846359474881,752.8094007955581,464.28641761705404
19,559.1517269130065,698.6688341336159,394.04076151500465
20,472.15007882752633,750.308393938211,478.8841976329052
21,504.4734061214775,763.3941096800033,459.7334185016308
22,536.998190100544,728.2953777548596,474.2168772322781
23,549.3070251486006,719.2517178426928,510.8122614651635
24,487.47922571499157,740.4871357377683,500.36494119231946
25,467.64898299506206,763.3159972998787,423.68889545460644
26,515.3553058281794,720.3156475748372,439.3116719513411
27,557.6862928256329,738.492874972775,366.1759497906093
28,520.1716042175455,798.0366260041606,464.6819438469846
29,468.0395674892088,777.5380551220843,470.08529385808106
30,583.6121113636042,710.3681395251706,377.4237510627303
31,530.038313683449,730.8919515079848,461.30655216926533
32,515.5592441502453,674.2459369726739,450.57848944864884
33,488.5442900846032,799.893853921513,383.178313694713
34,560.9523475276171,779.8994306218078,452.98506027247515
35,477.4504851965089,800.3271320203742,490.5993502146607
36,465.61857502359715,911.8154175983072,491.6447897666574
37,520.1852865127378,792.2543882289324,447.67617095361175
38,505.2874476968701,790.1803058541391,442.0929684647764
39,563.8271653742713,764.7474261949668,444.508307683666
40,516.2764254810099,652.3663363982705,456.11402402607575
41,502.625363408312,705.5078842736405,510.10729591829465
42,605.7776826188385,766.6841497621665,498.5576141947116
43,523.5143979068959,759.8947443937184,447.28152270812353
44,507.09772046937286,707.0756455190295,537.2958524951897
45,522.3836817288754,693.7354183402143,473.40235693454576
46,550.8255585070717,794.5999957074256,469.5836250106716
47,514.3424081454631,788.1313836394833,569.6065430350046
48,563.2185569143197,829.0609802429614,470.05201080406243
49,554.078075424866,717.0660028246631,440.06392530445765
50,507.62033434414263,782.6279886606629,435.6506026969948
51,539.1580209769071,820.1523233695762,545.2121941286371
52,469.3084815850064,811.2610197132396,395.13788306072007
53,571.960530083232,751.462425950563,506.8027119164484
54,538.6392395317228,701.4990938292781,506.9008751945639
55,486.56029975057345,756.828511868621,593.3623877310374
56,497.4805751790288,689.8069899791496,460.2324672643425
57,518.7910304603613,676.7110909332457,475.374614652104
58,561.0805168297245,774.5203439194759,497.32903333886924
59,539.2140974937757,820.1254429309336,559.5531422463046
60,582.4633746403736,778.9025194221715,479.6453558159066
61,596.3438559857118,688.2305533618044,501.2641590259156
62,550.2655275786207,816.2702448554592,467.485345103689
63,548.4906295606456,703.5847494599319,440.01415565681083
64,535.762540475366,789.4267087385058,397.94392168377095
65,469.3016644346525,893.4186417279492,436.6122269462937
66,537.2587970266329,827.7942562107394,538.2785405423317
67,568.7530367641696,724.1191896340222,441.19509845619314
68,505.23800430793733,723.0614051006538,487.6632782111648
69,512.3058003244857,706.4615115775813,422.1924791262144
70,492.4410482208397,807.9759512163839,469.5929255930729
71,445.797838975386,749.3273461520246,442.9418998201245
72,500.49364708069254,756.7657611280885,434.04895923120847
73,482.7171162806173,774.3650849358139,516.3067713090423
74,519.5301937064505,745.2073647515311,614.0833118904326
75,518.0172335539643,769.7903458610829,486.83749759690966
76,595.0833045383054,723.9409864912045,536.1885021506708
77,531.8114369890025,770.6708605748654,559.5323915540251
78,505.972964074236,701.5338116016104,503.9918688751592
79,554.8417901359129,740.9797557742493,526.8152586995468
80,503.9053905249854,706.7395928281563,498.8776109866875
81,578.0226580620509,791.041036058073,537.2670339925011
82,558.3547370180402,646.6886641624899,543.501283195346
83,529.8074178985565,772.898409581948,417.4450191887755
84,481.3287239008404,802.3574001915364,489.84590455475274
85,521.2654686576122,738.1199047983152,475.0370782989259
86,538.5444355191199,698.7277568179187,547.4283304122029
87,547.7484585554337,836.6588066523063,512.1909773777215
88,496.1907121260635,785.6374833229909,444.9645723871434
89,504.51079977919346,871.1437685935316,561.5792937199072
90,574.1365360507742,753.5983268858779,520.8713139296547
91,530.3009692551955,797.2510340826498,557.3687746878602
92,528.1211424746249,711.5819300668152,574.3445382807674
93,496.9894264107012,729.2646492528538,478.32274402980363
94,445.78621936129974,779.7456856584525,463.69529519524883
95,519.2103475586639,750.5387195499109,531.4459382412053
96,541.5897695354723,801.344402190647,482.87120062835857
97,540.3546422104088,660.2381937462477,515.5219375345255
98,528.3262015099336,857.2671507569579,470.6392127757922
99,572.685289543893,763.581839232492,461.98912075304344
100,510.26745418917744,761.7857560680723,439.27397095041476
101,536.7495600970478,704.1415603528931,539.1952228670596
102,531.6960679885998,799.1481437927525,508.3358528096718
103,490.0177191836252,726.8884487920924,566.5049794304325
104,531.9967887574336,642.9783353594751,531.9353279606073
105,585.3494204271743,830.4030427267277,476.60644842035816
106,531.2630919721563,745.5495800381977,420.7777272105788
107,544.3066080795213,732.8140016341902,419.3482209118298
108,574.2244643478327,754.9147900782701,490.5124024206272
109,541.0601204133936,818.8630312329066,424.30305018306973
110,567.6255376836,777.1083132971637,427.77660369078785
111,533.9314733609242,819.8237742933213,569.8548619519147
112,493.2702760077589,669.8641929096852,472.4516012048722
113,564.8216767586314,803.1513160935599,475.33531372629443
114,548.7995020030243,733.02063229794,427.6980300927163
115,478.7920731961414,753.1420314099948,433.2266494386507
116,509.78392282544763,776.8282650802837,503.37972606968896
117,495.08370784121854,720.7017519993237,451.4353226694828
118,475.47447836185,762.3328809288016,566.311175628179
119,507.03087962795627,756.0862763609159,455.969200513429
120,497.2700763323962,725.7981088396979,572.8796609387592
121,524.0739612755544,774.8604978148276,479.55939448112883
122,509.37102336326825,835.2017575927608,483.7251747554434
123,518.5538760782617,745.4024782594431,570.8561882144066
124,636.9862576256213,714.3526472939709,529.8198936104836
125,596.6900341523918,709.6804731361999,507.10253884876585
126,490.5279641306421,829.3073545400015,538.2401496558184
127,452.3562412152457,745.9805937752451,513.2482363556874
128,539.0577140948042,755.6172275517404,600.2334523236484
129,513.7885648229104,880.2558514610962,554.2581448585004
130,559.0608810950707,799.2856031624667,485.6257787412784
131,578.6853318597127,764.081024454175,512.9805262750131
132,543.2754731329113,717.6241541414059,536.7159150348449
133,521.6983288139271,662.3095876697457,496.44251485134544
134,498.79487698141094,759.9790006088948,482.85906164201486
135,547.9175712837343,853.0448299444843,547.3304768810222
136,522.6834809388017,794.9243770967043,551.2464523143103
137,495.0358832998671,828.2497791598005,540.1881766215795
138,477.9270170653,726.8936004535311,446.09842167927854
139,502.3544571988708,683.4234849505982,619.506703990941
140,508.08141995074936,702.681610514491,524.5050891350409
141,582.986700220015,720.5627366813903,557.1370764864922
142,557.9448559669065,802.736925459462,587.4147980751468
143,491.977991690415,776.2526413187736,601.6883222786555
144,500.0835465664407,789.0333868177264,610.6282867629221
145,506.46640908837264,825.4380331370679,540.8855616104925
146,579.8837029635893,818.4193141798748,598.7249752132176
147,512.6729173729482,771.7609335996692,580.0287923321874
148,575.9803395205342,763.80470331203,587.6063079189028
149,582.199027743681,742.0122697645153,515.0626446052297
150,492.5904887683927,701.7609200914812,468.0439781574114
151,520.8765393965332,723.2066349504794,496.08102203549197
152,519.5160128408945,702.5048866595783,458.49780670509415
153,457.79961168115096,801.7992335784405,519.9922516903985
154,565.7542655349931,805.1114471133301,468.1656293932403
