,RL,Random,Greedy
0,278.8347254479226,516.7636348025044,788.2107075159942
1,300.50977919041753,506.99042712492866,807.9419220663597
2,388.8116080117933,544.1207518228962,805.0799042768001
3,368.5712435174589,485.69648292594036,789.1750261721186
4,360.147748344871,534.8040289643815,792.2880668972292
5,415.0234559356447,531.1691719239426,781.590353440669
6,361.929810984387,512.7922950718032,756.4188555390217
7,326.7500932931137,462.4380362806899,677.8363210543669
8,334.20640229317894,533.467567957626,736.6347377192815
9,418.0125150201251,590.8180557834478,772.18748210811
10,328.72710113701123,516.5211065749479,735.1218340177875
11,314.97388219838933,522.338012582898,751.1419942742709
12,392.81670279441613,461.41414147732223,754.1069058273754
13,404.30248857328786,512.9634711240844,787.9550826168814
14,381.80335082200855,530.1862526712088,782.9780318306238
15,374.4917607404883,505.3363090458869,741.9830338562468
16,377.49091310153824,521.5393707994838,783.8678125183294
17,378.60270506458585,530.5738676109529,728.6004655273871
18,372.47529019341187,542.5002251987858,754.4971717637316
19,377.6329339095849,484.17220904918287,762.0530391761405
20,400.3229667965867,539.5015928044045,691.6471980793125
21,392.149441894813,499.18976894895223,718.8147801991166
22,451.6174703321508,526.1065103456792,739.3093374679489
23,449.66869963077613,508.0973057941251,700.2511155519576
24,440.50431897357646,482.65262261519985,735.9770525711941
25,463.2359884144973,492.6690057719317,767.1962478223977
26,375.95174519894783,543.5726631218979,805.7513261867578
27,397.2428230116745,514.6978656898325,769.1046941291804
28,344.39840165899443,562.7269564321032,798.1531191271604
29,375.51115727090803,546.4632606216466,763.0097058030531
30,377.8553625914678,537.5183275957909,757.606748010174
31,438.64895098628466,482.28131211685843,819.560517499224
32,428.81966674919386,543.9612989689269,736.4620442775299
33,342.9878676931972,528.1515577606025,726.509741285288
34,351.0051381006646,526.4162705340485,750.3415253203542
35,351.62566894278484,521.7883126541944,690.5035864589229
36,418.449316962657,503.85877590303534,732.0502303209807
37,567.6973626099083,484.42174107972033,800.8853866137799
38,537.3411225868167,525.2783625064274,741.555017107504
39,564.0593964273236,513.6920435811328,734.5547190538326
40,475.4235712815931,540.9931807098998,728.7195603000217
41,517.6640123600275,504.2813532668355,801.9767671267189
42,536.7736828735636,516.9259022174153,740.4304916120078
43,511.8349285522516,485.23565775481404,695.547914212271
44,393.4355998620234,524.7430946550894,791.7341314686406
45,538.6428802424085,512.1542242918738,757.7984238541421
46,443.4341694416188,531.2420547891398,783.3576562202614
47,495.65124148288976,508.86146857198116,770.0597837492514
48,404.3334869072979,497.16560970455157,814.6201066972046
49,470.19551353658244,526.4583220660426,769.7609582475586
50,462.0802314831293,527.2029865862197,796.9707798192164
51,525.1053114509122,493.48002503178196,752.2670335289638
52,482.55555783909205,516.9009146224975,768.0214973704193
53,490.30650450452777,484.4258720032688,772.4651420921615
54,490.47177463053697,530.85928245495,727.888199562807
55,424.64806261712386,545.7669771924388,737.8682484706004
56,365.67526004508164,497.83931461946685,760.5107550024633
57,468.1730283450732,524.2310742787356,780.4845279619269
58,449.2675023822464,548.9779077608694,730.438401014462
59,611.553861421887,489.6533530620666,754.8871552789423
60,562.0620341519533,516.8536596575266,775.1783365733643
61,391.72835576395323,556.300081622174,765.426508964878
62,421.3796621337635,534.7173316278595,788.5202599285619
63,361.9369448491932,559.3517197016656,820.3348256783204
64,501.5184992567007,538.0795697396985,777.5188662574827
65,567.145292544824,576.4284521650922,725.9337403082931
66,558.2657420661666,539.0184337787572,724.09044606188
67,368.27326110704513,529.2829841146224,763.3283538370351
68,393.71377752133833,520.0448667942312,712.0274319177147
69,457.99023421441035,534.5946587626888,748.9193977219232
70,480.35278760919175,494.67451993058785,764.8520115550753
71,542.9653466531169,533.9298653367098,796.5542768024195
72,512.6662294873734,523.7779574761688,751.7350180388
73,396.62203378807254,515.8120496798897,777.001365221226
74,365.922924660251,528.3681748831506,701.3618715437664
75,434.5154992201078,536.4130141346208,734.7642986410161
76,562.3139209250205,504.9304062718108,723.3164305269411
77,492.8214687900221,473.6258195483151,732.6263136482102
78,401.79988046106774,530.9309133106984,764.4933408003512
79,482.96487408585665,539.9914525865235,752.1433924707175
80,463.6356311720048,536.047362801121,694.8280050134341
81,354.13148901796046,527.5016173603237,726.8384678512859
82,540.0405332512984,530.941145380119,731.3462743226055
83,484.82880654678684,527.6327909783162,720.504113525203
84,464.4368774712572,509.6609993151209,739.703199544953
85,475.42566345738334,570.8100942309214,778.622274311395
86,454.93799973122697,542.9808918080038,756.42301881033
87,457.9841463182614,500.8319840373855,782.9103010238357
88,469.73069194119154,529.9672496518541,808.5287359310831
89,402.334092182626,552.3199920292315,729.3097560438889
90,430.83752847539,471.9279539600904,781.8238743434724
91,580.9034697429889,546.0035707692878,796.145674525297
92,502.27669187387767,570.9200951182809,705.7466023483773
93,431.12279337934626,518.1676386271113,751.1178277583693
94,358.22742757759266,533.2392586136856,755.9227666129418
95,478.1905723316754,498.6383215568072,786.9715971831714
96,580.6906391438434,512.1197871083652,744.725654724522
97,516.393777281132,537.9457606298771,789.4527987307816
98,425.7345846118402,539.0213194104167,782.6355855480969
99,450.74940333804506,516.3870774410556,703.6467900137139
100,470.8633128116564,508.97829172664416,730.7075329519419
101,458.9152167948105,517.8851480840501,705.6761379079994
102,566.881395619095,496.7835351753397,757.5658048681037
103,426.3670807356997,512.0940603212911,708.7585873370787
104,632.783955405722,522.1014058526646,739.1484133042841
105,409.16379388589877,523.5948133175673,736.8934672747708
106,374.43758587522683,559.1276159938963,783.1428846017765
107,435.8455306496271,544.5469020227179,761.9152848372623
108,419.9143074720353,525.2772633938833,665.5841338744762
109,434.7807704020768,433.6723131108474,751.2413195807516
110,476.1905889061007,538.9852106680067,781.555514468994
111,428.39399078040935,554.5603837173878,787.0614216578193
112,494.8434887358553,532.5531860135231,691.0209228735479
113,550.2871330309059,480.3421239480619,741.4293826063027
114,506.0728180138337,521.2282710258417,775.5798343895524
115,449.41071731761514,473.5146366941173,791.7199266163308
116,510.6827003895367,535.4237355162115,775.4496528503275
117,438.11181120254605,527.9272356658674,822.1264392597774
